Telemetry_UID,State,District,Tahsil,Block,Village,Latitude,Longitude,Date & Time,Battery (V),Water Temperature (°C),Water Level (m),Barometric Pressure (mH2O),DWLR Depth(m),Well Depth(m)
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,23-04-2024 12:00,3.37,27.05,-7.53,968.56,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,23-04-2024 18:00,3.37,27.03,-7.53,964.6,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,24-04-2024 00:00,3.37,27.07,-7.51,966.53,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,24-04-2024 06:00,3.37,27.1,-7.49,966.34,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,24-04-2024 12:00,3.37,27.03,-7.5,968.14,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,24-04-2024 18:00,3.37,27.05,-7.49,964.79,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,25-04-2024 00:00,3.37,27.1,-7.48,967.45,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,25-04-2024 06:00,3.37,27.05,-7.48,967.02,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,25-04-2024 12:00,3.37,27.03,-7.48,968.46,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,25-04-2024 18:00,3.37,26.99,-7.48,965.17,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,26-04-2024 00:00,3.37,27.03,-7.48,966.97,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,26-04-2024 06:00,3.37,27.05,-7.48,966.58,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,26-04-2024 12:00,3.37,26.99,-7.48,970.3,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,26-04-2024 18:00,3.37,27.01,-7.48,967.4,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,27-04-2024 00:00,3.37,27.03,-7.48,968.44,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,16-05-2024 18:00,3.4,27.03,-7.79,965.42,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,17-05-2024 00:00,3.4,27.05,-7.78,966.84,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,17-05-2024 06:00,3.4,27.03,-7.77,967.29,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,17-05-2024 12:00,3.4,27.03,-7.77,967.27,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,17-05-2024 18:00,3.4,27.05,-7.87,963.48,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,18-05-2024 00:00,3.4,27.05,-7.85,966.14,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,18-05-2024 06:00,3.4,27.03,-7.84,966.17,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,18-05-2024 12:00,3.4,27.05,-7.86,965.03,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,18-05-2024 18:00,3.4,27.07,-7.9,960.84,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,19-05-2024 00:00,3.4,27.01,-7.89,962.91,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,19-05-2024 06:00,3.4,27.05,-7.86,963.22,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,19-05-2024 12:00,3.4,27.01,-7.87,963.29,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,19-05-2024 18:00,3.4,27.07,-7.94,958.88,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,20-05-2024 00:00,3.4,27.03,-7.91,961.85,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,20-05-2024 06:00,3.4,27.1,-7.97,962.32,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,20-05-2024 12:00,3.4,27.05,-7.96,964.13,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,20-05-2024 18:00,3.4,27.07,-7.93,960.4,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,21-05-2024 00:00,3.4,27.03,-7.91,963.5,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,21-05-2024 06:00,3.4,27.05,-7.89,963.62,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,21-05-2024 12:00,3.4,27.05,-7.88,964.04,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,21-05-2024 18:00,3.4,27.1,-7.88,960.87,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,22-05-2024 00:00,3.4,26.99,-7.87,962.96,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,22-05-2024 06:00,3.4,26.99,-7.86,962.53,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,22-05-2024 12:00,3.4,27.03,-7.86,963.11,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,22-05-2024 18:00,3.4,27.03,-7.86,959.59,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,23-05-2024 00:00,3.4,27.01,-7.85,961.54,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,23-05-2024 06:00,3.4,27.03,-7.84,961.02,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,23-05-2024 12:00,3.4,27.01,-7.89,960.88,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,23-05-2024 18:00,3.4,27.07,-7.9,957.57,-11.9,-26.9
CGWKOL0166,Madhya Pradesh,Agarmalwa,Susner,Susner,Soyat(Deep),24.1472,76.1603,24-05-2024 00:00,3.4,27.05,-7.89,959.7,-11.9,-26.9
